EmpID,Review Date,Rating,Bonus,Promotion
1078,31-12-2022,4,2200,No
1079,Dec-31-20,6,2200,No
1079,2021.12.31,3,2200,Yes
1079,31-12-2022,3,2200,No
1080,31-12-2020,4,2000,No
1080,12/31/2021,6,2200,No
1080,Dec-31-22,4,"1,500",No
1081,2020.12.31,1,"1,500",Promoted
1081,Dec-31-21,5,2200,No
1081,12/31/2022,3,2000,No
1082,31-12-2020,3,2200,No
1082,2021.12.31,5,2000,No
1082,12/31/2022,2,2200,No
1084,31.12.2020,2,2200,Promoted
1084,Dec-31-21,3,"1,500",No
1084,2022.12.31,1,2200,No
1085,31-12-2020,3,2200,Y
1085,31-12-2021,2,2200,Yes
1085,12/31/2022,2,2000,No
1086,31.12.2020,4,2200,No
1086,2021.12.31,4,2200,No
1086,31-12-2022,1,2200,Y
1087,31-12-2020,3,2000,No
1087,31-12-2021,4,2200,Promoted
1087,Dec-31-22,3,1791,No
1088,31-12-2020,1,"1,500",Promoted
1088,2021.12.31,6,2200,Yes
1088,12/31/2022,6,2200,Y
1089,31-12-2020,2,2200,No
1089,12/31/2021,3,4791,No
1089,31-12-2022,2,2200,Promoted
1090,31-12-2020,6,2200,No
1090,Dec-31-21,3,2200,No
1090,31-12-2022,3,0,Yes
1091,2020.12.31,4,2200,Y
1091,31-12-2021,6,2762,Yes
1091,2022.12.31,3,2200,No
1093,31-12-2020,3,2200,Promoted
1093,31-12-2021,3,2200,Promoted
1093,31.12.2022,4,2200,No
1094,Dec-31-20,1,2200,No
1094,12/31/2021,4,2200,No
1094,31-12-2022,6,2200,No
1095,12/31/2020,2,2200,No
1095,31-12-2021,4,2200,Y
1095,12/31/2022,3,"1,500",Y
1096,Dec-31-20,3,2200,Promoted
1096,31.12.2021,6,2200,Y
1096,31.12.2022,2,4632,No
1097,31-12-2020,3,559,No
1097,31-12-2021,3,2200,Yes
1097,31-12-2022,2,1100,Yes
1098,31-12-2020,3,2000,No
1098,2021.12.31,4,1100,No
1098,31-12-2022,3,2000,No
1099,2020.12.31,5,1100,No
1099,31-12-2021,4,"1,500",Yes
1099,31-12-2022,3,2000,No
1100,31-12-2020,4,0,Yes
1100,31-12-2021,3,0,Yes
1100,2022.12.31,4,1100,Promoted
